          (   8,    6) (   8,    8) (   7,    8) (   7,    8) (   7,    8) (   5,    7) (   8,    8) (   8,    7) (   7,    8) (   8,    8)
          (   6,    8) (   7,    8) (   8,    7) (   7,    7) (   7,    5) (   8,    8) (   8,    8) (   8,    6) (   7,    7) (   8,    7)
          (   8,    8) (   8,    6) (   7,    7) (   8,    5) (   7,    7) (   8,    7) (   8,    8) (   8,    8) (   7,    7) (   8,    7)
          (   7,    7) (   8,    7) (   8,    7) (   8,    8) (   8,    8) (   7,    8) (   8,    8) (   5,    8) (   7,    8) (   5,    8)
          (   7,    5) (   6,    8) (   7,    8) (   6,    6) (   7,    8) (   8,    8) (   7,    7) (   7,    8) (   7,    5) (   8,    7)
          (   8,    8) (   6,    7) (   7,    8) (   7,    8) (   8,    7) (   8,    8) (   7,    8) (   6,    7) (   7,    8) (   7,    6)
          (   8,    6) (   6,    8) (   6,    5) (   7,    8) (   4,    7) (   6,    7) (   5,    7) (   7,    7) (   8,    6) (   7,    7)
          (   8,    8) (   7,    7) (   7,    8) (   8,    6) (   7,    8) (   8,    7) (   7,    8) (   7,    7) (   7,    7) (   7,    6)
          (   8,    8) (   7,    8) (   8,    8) (   8,    7) (   7,    7) (   7,    6) (   8,    7) (   7,    6) (   8,    8) (   6,    8)
          (   7,    8) (   7,    7) (   8,    8) (   7,    7) (   8,    8) (   7,    5) (   7,    7) (   8,    8) (   8,    7) (   8,    6)
          (   7,    6) (   7,    8) (   8,    7) (   7,    7) (   7,    5) (   6,    8) (   7,    7) (   6,    6) (   8,    6) (   7,    8)
          (   8,    8) (   6,    7) (   8,    6) (   8,    7) (   7,    7) (   8,    5) (   7,    8) (   7,    8) (   8,    7) (   8,    8)
          (   7,    8) (   8,    5) (   6,    6) (   7,    8) (   8,    8) (   8,    7) (   8,    8) (   7,    6) (   8,    7) (   5,    8)
          (   7,    7) (   8,    7) (   8,    8) (   8,    7) (   7,    8) (   8,    7) (   7,    7) (   8,    8) (   7,    7) (   7,    8)
          (   7,    7) (   7,    6) (   7,    7) (   6,    8) (   7,    8) (   8,    7) (   6,    7) (   8,    8) (   6,    8) (   7,    7)
          (   8,    7) (   7,    8) (   8,    7) (   8,    8) (   8,    7) (   8,    8) (   7,    6) (   7,    7) (   8,    7) (   8,    7)
          (   7,    7) (   8,    6) (   6,    8) (   8,    8) (   7,    8) (   7,    7) (   8,    6) (   7,    8) (   8,    5) (   7,    8)
          (   8,    7) (   7,    6) (   7,    8) (   7,    7) (   8,    8) (   8,    8) (   7,    7) (   7,    5) (   6,    7) (   7,    7)
          (   6,    7) (   8,    7) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
         
node   2 sent_total   5526  recv_total   5480

node   3  (   1,    0) (   0,    0) (   3,    3) (  27,    7) (  24,    9) (   9,   27) (   9,   20) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   8,    9) (   7,    8) (   8,    9) (   9,    8) (   9,    8) (   9,    9) (   9,    9) (   9,    8) (   9,    9)
          (   9,    9) (   8,    9) (   9,    7) (   9,    8) (   9,    7) (   9,    9) (   9,    9) (   8,    8) (   9,    9) (   6,    8)
          (   9,    9) (   7,    9) (   8,    8) (   8,    9) (   8,    9) (   9,    8) (   8,    7) (   9,    7) (   9,    9) (   8,    9)
          (   9,    8) (   8,    8) (   7,    8) (   8,    9) (   7,    9) (   7,    9) (   9,    7) (   7,    7) (   6,    8) (   9,    9)
          (   8,    7) (   9,    8) (   8,    9) (   7,    9) (   8,    8) (   7,    8) (   9,    7) (   9,    8) (   9,    8) (   7,    7)
          (   9,    9) (   9,    7) (   7,    7) (   8,    6) (   7,    6) (   8,    7) (   8,    7) (   8,    7) (   8,    7) (   9,    5)
          (   8,    7) (   8,    8) (   9,    8) (   7,    8) (   9,    7) (   7,    7) (   8,    8) (   9,    7) (   9,    7) (   8,    8)
          (   8,    7) (   8,    8) (   8,    6) (   6,    7) (   6,    7) (   7,    6) (   7,    7) (   7,    7) (   8,    8) (   8,    6)
          (   8,    8) (   7,    6) (   7,    7) (   6,    6) (   7,    7) (   8,    8) (   8,    8) (   8,    7) (   7,    8) (   7,    8)
          (   6,    8) (   6,    7) (   6,    6) (   8,    6) (   8,    7) (   8,    7) (   8,    5) (   8,    6) (   7,    8) (   8,    7)
          (   8,    8) (   8,    6) (   8,    6) (   8,    7) (   8,    5) (   8,    8) (   8,    8) (   7,    7) (   7,    7) (   8,    8)
          (   8,    5) (   6,    8) (   7,    7) (   7,    6) (   8,    6) (   6,    8) (   7,    7) (   7,    6) (   7,    7) (   7,    7)
          (   8,    7) (   7,    7) (   7,    8) (   7,    8) (   8,    6) (   8,    8) (   8,    7) (   6,    8) (   7,    8) (   6,    8)
          (   8,    7) (   7,    8) (   6,    7) (   7,    6) (   7,    8) (   8,    8) (   8,    6) (   7,    6) (   7,    6) (   6,    8)
          (   7,    8) (   6,    7) (   8,    7) (   7,    8) (   8,    8) (   7,    6) (   8,    8) (   8,    6) (   7,    8) (   6,    8)
          (   8,    6) (   7,    7) (   7,    7) (   7,    8) (   8,    8) (   7,    8) (   7,    7) (   8,    7) (   5,    7) (   8,    7)
          (   5,    6) (   7,    8) (   8,    8) (   7,    6) (   8,    8) (   8,    7) (   8,    8) (   7,    8) (   6,    7) (   6,    8)
          (   8,    7) (   8,    6) (   8,    6) (   6,    7) (   7,    7) (   7,    8) (   7,    7) (   8,    6) (   7,    8) (   6,    8)
          (   8,    5) (   6,    5) (   5,    6) (   8,    8) (   5,    6) (   6,    7) (   6,    8) (   6,    7) (   8,    8) (   8,    6)
          (   7,    8) (   7,    7) (   7,    8) (   8,    8) (   7,    8) (   7,    7) (   6,    6) (   6,    7) (   7,    5) (   8,    8)
          (   6,    7) (   8,    8) (   8,    7) (   7,    6) (   7,    8) (   7,    7) (   7,    8) (   7,    7) (   8,    8) (   7,    7)
          (   6,    8) (   7,    8) (   8,    8) (   7,    8) (   8,    8) (   8,    6) (   6,    8) (   8,    8) (   8,    7) (   8,    6)
          (   8,    8) (   7,    8) (   8,    8) (   7,    8) (   8,    8) (   8,    8) (   8,    5) (   8,    6) (   7,    8) (   8,    5)
          (   7,    7) (   7,    7) (   8,    8) (   7,    7) (   6,    7) (   7,    6) (   8,    8) (   7,    7) (   8,    7) (   7,    8)
          (   7,    8) (   8,    6) (   8,    8) (   7,    7) (   6,    8) (   6,    8) (   7,    7) (   7,    8) (   8,    7) (   5,    7)
          (   7,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
          (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8) (   8,    8)
